#======= TRAJECTORY BEGIN: Sample 2021 challenge quintic V4
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.914       5.080       0.000       0.000       0.000       0.000      12.000
#--------Waypoint:     6.350       1.651       0.000       5.436      -3.429       0.000       6.000
#--------Waypoint:    11.430       6.350       0.000      10.516       1.270       0.000       5.000
#--------Waypoint:    13.970       4.013      -1.571      13.056      -1.067      -1.571       4.000
#--------Waypoint:    11.430       1.651       3.142      10.516      -3.429       3.142       5.000
#--------Waypoint:     6.350       6.350       3.142       5.436       1.270       3.142       6.000
#--------Waypoint:     0.914       2.794       3.142       0.000      -2.286       3.142      12.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               0.76200  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.63500  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.54334,    0.34502,    0.63500,    0.09373,   -0.00002,   -0.00052,   -0.01092,Segment:  2
   0.76815,    0.48778,    0.63500,    0.18734,   -0.00013,   -0.00203,   -0.02145,Segment:  3
   0.94032,    0.59710,    0.63500,    0.28073,   -0.00043,   -0.00452,   -0.03169,Segment:  4
   1.08502,    0.68899,    0.63500,    0.37378,   -0.00100,   -0.00793,   -0.04174,Segment:  5
   1.21202,    0.76963,    0.63500,    0.46640,   -0.00193,   -0.01226,   -0.05169,Segment:  6
   1.32629,    0.84219,    0.63500,    0.55848,   -0.00329,   -0.01748,   -0.06163,Segment:  7
   1.43079,    0.90855,    0.63500,    0.64993,   -0.00516,   -0.02357,   -0.07162,Segment:  8
   1.52743,    0.96992,    0.63500,    0.74067,   -0.00761,   -0.03053,   -0.08173,Segment:  9
   1.61756,    1.02715,    0.63500,    0.83062,   -0.01070,   -0.03834,   -0.09203,Segment:  10
   1.70214,    1.08086,    0.63500,    0.91968,   -0.01449,   -0.04701,   -0.10256,Segment:  11
   1.78190,    1.13151,    0.63500,    1.00780,   -0.01905,   -0.05654,   -0.11340,Segment:  12
   1.85742,    1.17946,    0.38620,    1.09489,   -0.02443,   -0.06692,   -0.12458,Segment:  13
   1.92968,    1.20737,   -0.07397,    1.18090,   -0.03067,   -0.07816,   -0.13615,Segment:  14
   2.00036,    1.20214,   -0.07688,    1.26576,   -0.03783,   -0.09026,   -0.14816,Segment:  15
   2.07043,    1.19675,   -0.08000,    1.34941,   -0.04594,   -0.10323,   -0.16064,Segment:  16
   2.13986,    1.19120,   -0.08330,    1.43180,   -0.05504,   -0.11708,   -0.17363,Segment:  17
   2.20862,    1.18547,   -0.08673,    1.51288,   -0.06518,   -0.13181,   -0.18715,Segment:  18
   2.27669,    1.17957,   -0.09022,    1.59260,   -0.07637,   -0.14744,   -0.20122,Segment:  19
   2.34408,    1.17349,   -0.09372,    1.67092,   -0.08866,   -0.16397,   -0.21586,Segment:  20
   2.41076,    1.16724,   -0.09716,    1.74781,   -0.10206,   -0.18141,   -0.23107,Segment:  21
   2.47674,    1.16083,   -0.10045,    1.82322,   -0.11661,   -0.19975,   -0.24684,Segment:  22
   2.54202,    1.15427,   -0.10349,    1.89713,   -0.13230,   -0.21902,   -0.26316,Segment:  23
   2.60659,    1.14759,   -0.10619,    1.96950,   -0.14917,   -0.23919,   -0.27997,Segment:  24
   2.67046,    1.14080,   -0.10844,    2.04032,   -0.16723,   -0.26028,   -0.29724,Segment:  25
   2.73365,    1.13395,   -0.11011,    2.10957,   -0.18648,   -0.28228,   -0.31490,Segment:  26
   2.79617,    1.12707,   -0.11110,    2.17722,   -0.20693,   -0.30516,   -0.33285,Segment:  27
   2.85802,    1.12020,   -0.11127,    2.24326,   -0.22859,   -0.32892,   -0.35099,Segment:  28
   2.91923,    1.11339,   -0.11052,    2.30767,   -0.25146,   -0.35354,   -0.36920,Segment:  29
   2.97981,    1.10669,   -0.10874,    2.37046,   -0.27554,   -0.37897,   -0.38731,Segment:  30
   3.03977,    1.10017,   -0.10584,    2.43161,   -0.30082,   -0.40519,   -0.40516,Segment:  31
   3.09915,    1.09389,   -0.10174,    2.49112,   -0.32729,   -0.43215,   -0.42256,Segment:  32
   3.15795,    1.08790,   -0.09313,    2.54900,   -0.35496,   -0.45980,   -0.43932,Segment:  33
   3.27388,    1.07711,   -0.07744,    2.65985,   -0.41380,   -0.51690,   -0.47003,Segment:  34
   3.38774,    1.06829,   -0.05707,    2.76421,   -0.47723,   -0.57593,   -0.49557,Segment:  35
   3.49964,    1.06191,   -0.03287,    2.86218,   -0.54511,   -0.63620,   -0.51434,Segment:  36
   3.60970,    1.05829,   -0.00608,    2.95389,   -0.61724,   -0.69692,   -0.52507,Segment:  37
   3.71803,    1.05763,    0.02183,    3.03951,   -0.69342,   -0.75730,   -0.52703,Segment:  38
   3.82469,    1.05996,    0.04934,    3.11924,   -0.77340,   -0.81652,   -0.52011,Segment:  39
   3.92974,    1.06514,    0.07515,    3.19331,   -0.85692,   -0.87381,   -0.50480,Segment:  40
   4.03325,    1.07292,    0.09829,    3.26197,   -0.94369,   -0.92849,   -0.48211,Segment:  41
   4.13524,    1.08295,    0.11823,    3.32552,   -1.03340,   -0.97996,   -0.45335,Segment:  42
   4.23574,    1.09483,    0.13490,    3.38426,   -1.12572,   -1.02779,   -0.41995,Segment:  43
   4.33474,    1.10818,    0.14862,    3.43851,   -1.22032,   -1.07161,   -0.38326,Segment:  44
   4.43224,    1.12267,    0.16002,    3.48864,   -1.31683,   -1.11120,   -0.34444,Segment:  45
   4.52819,    1.13803,    0.16999,    3.53500,   -1.41488,   -1.14639,   -0.30438,Segment:  46
   4.62253,    1.15406,    0.17955,    3.57797,   -1.51410,   -1.17711,   -0.26367,Segment:  47
   4.71518,    1.17070,    0.18987,    3.61793,   -1.61411,   -1.20330,   -0.22263,Segment:  48
   4.80602,    1.18795,    0.20222,    3.65530,   -1.71450,   -1.22494,   -0.18129,Segment:  49
   4.89489,    1.20592,    0.21807,    3.69047,   -1.81489,   -1.24201,   -0.13947,Segment:  50
   4.98163,    1.22483,    0.23912,    3.72385,   -1.91490,   -1.25448,   -0.09678,Segment:  51
   5.06605,    1.24502,    0.26749,    3.75586,   -2.01412,   -1.26229,   -0.05266,Segment:  52
   5.14794,    1.26693,   -0.21605,    3.78690,   -2.11217,   -1.26535,   -0.00637,Segment:  53
   5.22838,    1.24955,   -0.30533,    3.81738,   -2.20868,   -1.26354,    0.04296,Segment:  54
   5.30867,    1.22503,   -0.32163,    3.84771,   -2.30328,   -1.25666,    0.09634,Segment:  55
   5.38890,    1.19923,   -0.34157,    3.87828,   -2.39560,   -1.24451,    0.15490,Segment:  56
   5.46902,    1.17186,   -0.36382,    3.90947,   -2.48531,   -1.22678,    0.21980,Segment:  57
   5.54899,    1.14277,   -0.38626,    3.94166,   -2.57208,   -1.20316,    0.29222,Segment:  58
   5.62883,    1.11193,   -0.60181,    3.97521,   -2.65560,   -1.17330,    0.37312,Segment:  59
   5.70918,    1.06357,   -0.63500,    4.01046,   -2.73558,   -1.13684,    0.46302,Segment:  60
   5.79090,    1.01168,   -0.63500,    4.04772,   -2.81176,   -1.09347,    0.56162,Segment:  61
   5.87442,    0.95865,   -0.63500,    4.08730,   -2.88389,   -1.04298,    0.66728,Segment:  62
   5.96021,    0.90417,   -0.63500,    4.12947,   -2.95177,   -0.98531,    0.77650,Segment:  63
   6.04900,    0.84778,   -0.46694,    4.17447,   -3.01520,   -0.92072,    0.88349,Segment:  64
   6.14095,    0.80485,   -0.31691,    4.22254,   -3.07404,   -0.84982,    0.98027,Segment:  65
   6.23539,    0.77492,   -0.17891,    4.27385,   -3.12818,   -0.77366,    1.05745,Segment:  66
   6.33153,    0.75772,   -0.04738,    4.32856,   -3.17754,   -0.69374,    1.10600,Segment:  67
   6.42856,    0.75312,    0.08219,    4.38678,   -3.22207,   -0.61193,    1.11955,Segment:  68
   6.52560,    0.76110,    0.21407,    4.44859,   -3.26177,   -0.53030,    1.09621,Segment:  69
   6.62176,    0.78168,    0.35310,    4.51403,   -3.29670,   -0.45089,    1.03923,Segment:  70
   6.71619,    0.81503,    0.50575,    4.58309,   -3.32694,   -0.37554,    0.95593,Segment:  71
   6.80810,    0.86151,    0.63500,    4.65573,   -3.35263,   -0.30568,    0.85556,Segment:  72
   6.89693,    0.91792,    0.63500,    4.73183,   -3.37396,   -0.24233,    0.74708,Segment:  73
   6.98291,    0.97251,    0.63500,    4.81125,   -3.39117,   -0.18609,    0.63764,Segment:  74
   7.06660,    1.02566,    0.63500,    4.89378,   -3.40457,   -0.13724,    0.53196,Segment:  75
   7.14834,    1.07756,    0.58626,    4.97917,   -3.41451,   -0.09586,    0.43244,Segment:  76
   7.22844,    1.12452,    0.43136,    5.06709,   -3.42139,   -0.06188,    0.33956,Segment:  77
   7.30743,    1.15860,    0.44360,    5.15716,   -3.42571,   -0.03524,    0.25237,Segment:  78
   7.38552,    1.19323,    0.47479,    5.24896,   -3.42800,   -0.01593,    0.16886,Segment:  79
   7.46229,    1.22968,    0.45490,    5.34196,   -3.42887,   -0.00407,    0.08605,Segment:  80
   7.53740,    1.26385,   -0.63500,    5.43560,   -3.42900,    0.00000,   -0.00000,Segment:  81
   7.61300,    1.21585,   -0.58105,    5.52933,   -3.42882,    0.00556,    0.11690,Segment:  82
   7.69147,    1.17025,   -0.47635,    5.62295,   -3.42763,    0.02158,    0.22373,Segment:  83
   7.77267,    1.13157,   -0.39048,    5.71635,   -3.42449,    0.04711,    0.32109,Segment:  84
   7.85630,    1.09891,   -0.31476,    5.80943,   -3.41858,    0.08122,    0.40864,Segment:  85
   7.94214,    1.07189,   -0.24400,    5.90212,   -3.40914,    0.12295,    0.48509,Segment:  86
   8.02997,    1.05046,   -0.21164,    5.99432,   -3.39552,    0.17124,    0.54853,Segment:  87
   8.11977,    1.03146,   -0.28323,    6.08598,   -3.37716,    0.22490,    0.59686,Segment:  88
   8.21213,    1.00530,   -0.11428,    6.17703,   -3.35357,    0.28267,    0.62832,Segment:  89
   8.30713,    0.99444,    0.02731,    6.26741,   -3.32434,    0.34316,    0.64212,Segment:  90
   8.40388,    0.99708,    0.15346,    6.35708,   -3.28913,    0.40500,    0.63872,Segment:  91
   8.50153,    1.01207,    0.25817,    6.44600,   -3.24770,    0.46686,    0.61994,Segment:  92
   8.59941,    1.03734,    0.13365,    6.53414,   -3.19983,    0.52756,    0.58868,Segment:  93
