#======= TRAJECTORY BEGIN: Sample3 - Quintic Trajectory
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),    Angle(rel)
#--------             meters,     meters,     radians,    meters,     meters,     radians
#--------Waypoint:     0.381       2.667      -0.785       0.000       0.000       0.000
#--------Waypoint:     2.667       1.651       0.000       2.335       0.898       0.785
#--------Waypoint:     5.334       2.667       0.785       3.502       3.502       1.571
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.11760  m/s
#--------Maximum Acceleration:      0.76200  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.11760  m/s
#--------Track width:               1.27000  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.38100  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.76200,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.49596,    0.37792,    0.76200,    0.09372,    0.00002,    0.00053,    0.01203,Segment:  2
   0.70041,    0.53371,    0.76200,    0.18691,    0.00014,    0.00236,    0.02794,Segment:  3
   0.85592,    0.65221,    0.76200,    0.27912,    0.00050,    0.00584,    0.04816,Segment:  4
   0.98544,    0.75090,    0.76200,    0.36998,    0.00127,    0.01131,    0.07320,Segment:  5
   1.09784,    0.83656,    0.76200,    0.45919,    0.00260,    0.01915,    0.10364,Segment:  6
   1.19772,    0.91266,    0.76200,    0.54652,    0.00472,    0.02974,    0.14001,Segment:  7
   1.28783,    0.98133,   -0.08501,    0.63180,    0.00781,    0.04346,    0.18274,Segment:  8
   1.37296,    0.97409,   -0.34378,    0.71492,    0.01212,    0.06066,    0.23201,Segment:  9
   1.45749,    0.94503,   -0.35253,    0.79583,    0.01785,    0.08169,    0.28757,Segment:  10
   1.54248,    0.91507,   -0.34771,    0.87452,    0.02526,    0.10679,    0.34855,Segment:  11
   1.62811,    0.88530,   -0.32771,    0.95104,    0.03457,    0.13612,    0.41323,Segment:  12
   1.71454,    0.85697,   -0.29229,    1.02546,    0.04600,    0.16970,    0.47894,Segment:  13
   1.80188,    0.83144,   -0.37371,    1.09789,    0.05979,    0.20737,    0.54200,Segment:  14
   1.89081,    0.79821,   -0.30691,    1.16848,    0.07615,    0.24872,    0.59798,Segment:  15
   1.98200,    0.77022,   -0.17684,    1.23739,    0.09527,    0.29315,    0.64223,Segment:  16
   2.07510,    0.75376,   -0.05701,    1.30482,    0.11734,    0.33983,    0.67060,Segment:  17
   2.16932,    0.74839,    0.05827,    1.37095,    0.14252,    0.38775,    0.68026,Segment:  18
   2.26384,    0.75389,    0.17414,    1.43601,    0.17094,    0.43581,    0.67035,Segment:  19
   2.35784,    0.77026,    0.29578,    1.50022,    0.20271,    0.48293,    0.64216,Segment:  20
   2.45053,    0.79768,    0.36079,    1.56378,    0.23791,    0.52809,    0.59878,Segment:  21
   2.54147,    0.83049,    0.27318,    1.62692,    0.27659,    0.57046,    0.54442,Segment:  22
   2.63133,    0.85504,    0.30305,    1.68983,    0.31874,    0.60941,    0.48358,Segment:  23
   2.72075,    0.88214,    0.31984,    1.75271,    0.36433,    0.64450,    0.42035,Segment:  24
   2.80976,    0.91061,    0.32496,    1.81572,    0.41328,    0.67553,    0.35797,Segment:  25
   2.89844,    0.93942,    0.32083,    1.87901,    0.46545,    0.70242,    0.29869,Segment:  26
   2.98683,    0.96778,    0.31050,    1.94270,    0.52067,    0.72524,    0.24379,Segment:  27
   3.07497,    0.99515,    0.29727,    2.00687,    0.57868,    0.74413,    0.19377,Segment:  28
   3.16284,    1.02127,    0.28442,    2.07157,    0.63920,    0.75925,    0.14854,Segment:  29
   3.25033,    1.04615,    0.27524,    2.13679,    0.70185,    0.77079,    0.10755,Segment:  30
   3.33726,    1.07008,    0.27330,    2.20250,    0.76622,    0.77893,    0.06993,Segment:  31
   3.42331,    1.09360,    0.28319,    2.26857,    0.83180,    0.78378,    0.03456,Segment:  32
   3.50807,    1.11760,   -0.10058,    2.33487,    0.89803,    0.78540,   -0.00000,Segment:  33
   3.59230,    1.10913,   -0.13244,    2.40117,    0.96435,    0.78593,    0.01203,Segment:  34
   3.67712,    1.09789,   -0.16030,    2.46727,    1.03063,    0.78778,    0.02827,Segment:  35
   3.76261,    1.08419,   -0.18421,    2.53296,    1.09684,    0.79133,    0.04853,Segment:  36
   3.84884,    1.06831,   -0.20408,    2.59802,    1.16303,    0.79693,    0.07267,Segment:  37
   3.93590,    1.05054,   -0.21966,    2.66223,    1.22923,    0.80488,    0.10053,Segment:  38
   4.02386,    1.03122,   -0.23064,    2.72536,    1.29554,    0.81550,    0.13192,Segment:  39
   4.11283,    1.01070,   -0.23662,    2.78720,    1.36208,    0.82903,    0.16657,Segment:  40
   4.20288,    0.98939,   -0.23722,    2.84750,    1.42896,    0.84569,    0.20407,Segment:  41
   4.29410,    0.96775,   -0.23211,    2.90605,    1.49634,    0.86567,    0.24385,Segment:  42
   4.38658,    0.94629,   -0.22108,    2.96265,    1.56439,    0.88907,    0.28510,Segment:  43
   4.48038,    0.92555,   -0.20413,    3.01707,    1.63328,    0.91593,    0.32677,Segment:  44
   4.57556,    0.90612,   -0.18147,    3.06912,    1.70319,    0.94620,    0.36754,Segment:  45
   4.67212,    0.88860,   -0.15362,    3.11863,    1.77430,    0.97973,    0.40585,Segment:  46
   4.77006,    0.87355,   -0.12135,    3.16541,    1.84681,    1.01626,    0.43996,Segment:  47
   4.86933,    0.86151,   -0.08572,    3.20933,    1.92089,    1.05541,    0.46813,Segment:  48
   4.96984,    0.85289,   -0.04793,    3.25025,    1.99671,    1.09670,    0.48877,Segment:  49
   5.07148,    0.84802,   -0.00933,    3.28807,    2.07444,    1.13953,    0.50062,Segment:  50
   5.17409,    0.84706,    0.02871,    3.32269,    2.15422,    1.18324,    0.50297,Segment:  51
   5.27752,    0.85003,    0.06490,    3.35406,    2.23619,    1.22714,    0.49571,Segment:  52
   5.38158,    0.85678,    0.09813,    3.38215,    2.32044,    1.27050,    0.47939,Segment:  53
   5.48612,    0.86704,    0.12758,    3.40697,    2.40705,    1.31266,    0.45508,Segment:  54
   5.59097,    0.88042,    0.15277,    3.42855,    2.49609,    1.35298,    0.42424,Segment:  55
   5.69600,    0.89646,    0.17368,    3.44695,    2.58756,    1.39092,    0.38847,Segment:  56
   5.80105,    0.91471,    0.19072,    3.46230,    2.68145,    1.42603,    0.34930,Segment:  57
   5.90600,    0.93472,    0.20477,    3.47473,    2.77770,    1.45794,    0.30810,Segment:  58
   6.01069,    0.95616,   -0.56068,    3.48445,    2.87620,    1.48634,    0.26589,Segment:  59
   6.11966,    0.89507,   -0.76200,    3.49168,    2.97680,    1.51101,    0.22331,Segment:  60
   6.24054,    0.80295,   -0.76200,    3.49671,    3.07931,    1.53173,    0.18063,Segment:  61
   6.37946,    0.69709,   -0.76200,    3.49988,    3.18346,    1.54832,    0.13772,Segment:  62
   6.54594,    0.57024,   -0.76200,    3.50156,    3.28894,    1.56055,    0.09404,Segment:  63
   6.76450,    0.40370,   -0.76200,    3.50221,    3.39536,    1.56816,    0.04863,Segment:  64
   7.29428,    0.00000,   -0.76200,    3.50230,    3.50230,    1.57080,    0.00000,Segment:  65
#======= TRAJECTORY END: Sample3 - Quintic Trajectory
