#======= TRAJECTORY BEGIN: 90 degree turn
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.914       1.270       0.000       0.000       0.000       0.000       1.000
#--------Waypoint:     2.184       1.270       0.000       1.270       0.000       0.000       3.000
#--------Waypoint:     8.128       2.540       0.785       7.214       1.270       0.785       5.000
#--------Waypoint:    10.160       6.350       1.571       9.246       5.080       1.571       3.000
#--------Waypoint:    10.160       7.620       1.571       9.246       6.350       1.571       1.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               0.76200  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.63500  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.60690,    0.38538,    0.63500,    0.11694,    0.00000,    0.00000,    0.00000,Segment:  2
   0.79719,    0.50622,    0.63500,    0.20178,    0.00000,    0.00000,    0.00000,Segment:  3
   1.00784,    0.63998,    0.63500,    0.32250,    0.00000,    0.00000,    0.00000,Segment:  4
   1.16591,    0.74035,    0.63500,    0.43159,    0.00000,    0.00000,    0.00000,Segment:  5
   1.27409,    0.80905,    0.63500,    0.51540,    0.00000,    0.00000,    0.00000,Segment:  6
   1.40069,    0.88944,    0.63500,    0.62291,    0.00000,    0.00000,    0.00000,Segment:  7
   1.46983,    0.93334,    0.63500,    0.68593,    0.00000,    0.00000,    0.00000,Segment:  8
   1.54211,    0.97924,    0.63500,    0.75505,    0.00000,    0.00000,    0.00000,Segment:  9
   1.61685,    1.02670,    0.63500,    0.83001,    0.00000,    0.00000,    0.00000,Segment:  10
   1.69332,    1.07526,    0.63500,    0.91038,    0.00000,    0.00000,    0.00000,Segment:  11
   1.77073,    1.12442,    0.63500,    0.99552,    0.00000,    0.00000,    0.00000,Segment:  12
   1.84825,    1.17364,    0.63500,    1.08459,    0.00000,    0.00000,    0.00000,Segment:  13
   1.92499,    1.22237,    0.63500,    1.17652,    0.00000,    0.00000,    0.00000,Segment:  14
   2.00000,    1.27000,   -0.13588,    1.27000,    0.00000,    0.00000,    0.00000,Segment:  15
   2.07474,    1.25984,   -0.01726,    1.36454,   -0.00004,   -0.00115,   -0.02116,Segment:  16
   2.15338,    1.25849,    0.04997,    1.46356,   -0.00027,   -0.00352,   -0.02401,Segment:  17
   2.23840,    1.26274,    0.06506,    1.57073,   -0.00077,   -0.00568,   -0.01510,Segment:  18
