#======= TRAJECTORY BEGIN: Fig 8 sample
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          2.00000  m/s
#--------Maximum Acceleration:      1.30000  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          2.00000  m/s
#--------Track width:               0.66000  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      1.00000  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.30000,    3.00000,    0.00000,    1.57100,    0.79341,Segment:  1
   0.34878,    0.45342,    1.30000,    2.99751,    0.07903,    1.63363,    0.78940,Segment:  2
   0.49201,    0.63962,    1.30000,    2.99019,    0.15697,    1.69510,    0.78011,Segment:  3
   0.60130,    0.78169,    1.30000,    2.97824,    0.23371,    1.75519,    0.76643,Segment:  4
   0.69307,    0.90098,    1.30000,    2.96186,    0.30916,    1.81373,    0.74933,Segment:  5
   0.77370,    1.00580,    1.30000,    2.94125,    0.38321,    1.87060,    0.72983,Segment:  6
   0.84647,    1.10041,    1.30000,    2.91659,    0.45578,    1.92575,    0.70888,Segment:  7
   0.91334,    1.18734,    0.60002,    2.88809,    0.52676,    1.97916,    0.68736,Segment:  8
   0.97667,    1.22534,    0.31259,    2.85595,    0.59606,    2.03085,    0.66602,Segment:  9
   1.03847,    1.24466,    0.31070,    2.82035,    0.66358,    2.08090,    0.64551,Segment:  10
   1.09929,    1.26356,    0.29904,    2.78150,    0.72922,    2.12940,    0.62634,Segment:  11
   1.15919,    1.28147,    0.27736,    2.73958,    0.79288,    2.17647,    0.60896,Segment:  12
   1.21823,    1.29784,    0.24565,    2.69481,    0.85446,    2.22225,    0.59369,Segment:  13
   1.27649,    1.31215,    0.20412,    2.64736,    0.91387,    2.26688,    0.58080,Segment:  14
   1.33405,    1.32390,    0.15325,    2.59745,    0.97102,    2.31055,    0.57054,Segment:  15
   1.39101,    1.33263,    0.09387,    2.54526,    1.02579,    2.35342,    0.56309,Segment:  16
   1.44746,    1.33793,    0.02710,    2.49099,    1.07810,    2.39568,    0.55864,Segment:  17
   1.50350,    1.33945,   -0.04562,    2.43484,    1.12785,    2.43752,    0.55737,Segment:  18
   1.55923,    1.33691,   -0.12254,    2.37700,    1.17493,    2.47915,    0.55950,Segment:  19
   1.61477,    1.33010,   -0.20166,    2.31767,    1.21926,    2.52078,    0.56524,Segment:  20
   1.67022,    1.31892,   -0.28078,    2.25705,    1.26073,    2.56262,    0.57486,Segment:  21
   1.72571,    1.30334,   -0.35761,    2.19533,    1.29925,    2.60492,    0.58869,Segment:  22
   1.78135,    1.28344,   -0.42983,    2.13270,    1.33471,    2.64793,    0.60708,Segment:  23
   1.83727,    1.25941,   -0.49521,    2.06938,    1.36702,    2.69189,    0.63048,Segment:  24
   1.89359,    1.23152,   -0.55170,    2.00554,    1.39609,    2.73710,    0.65936,Segment:  25
   1.95044,    1.20015,   -0.59751,    1.94138,    1.42181,    2.78384,    0.69427,Segment:  26
