#======= TRAJECTORY BEGIN: Sample 2021 challenge quintic V3
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     0.381       5.080       0.000       0.000       0.000       0.000      12.000
#--------Waypoint:     6.350       1.651       0.000       5.969      -3.429       0.000       6.000
#--------Waypoint:    11.430       6.350       0.000      11.049       1.270       0.000       5.000
#--------Waypoint:    13.970       4.013      -1.571      13.589      -1.067      -1.571       4.000
#--------Waypoint:    11.430       1.651       3.142      11.049      -3.429       3.142       5.000
#--------Waypoint:     6.350       6.350       3.142       5.969       1.270       3.142       6.000
#--------Waypoint:     0.381       2.794       3.142       0.000      -2.286       3.142      12.000
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.27000  m/s
#--------Maximum Acceleration:      0.63500  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.27000  m/s
#--------Track width:               0.76200  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.63500  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Quintic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.63500,    0.00000,    0.00000,    0.00000,    0.00000,Segment:  1
   0.54334,    0.34502,    0.63500,    0.09373,   -0.00002,   -0.00052,   -0.01092,Segment:  2
   0.76820,    0.48780,    0.63500,    0.18736,   -0.00013,   -0.00203,   -0.02143,Segment:  3
   0.94043,    0.59717,    0.63500,    0.28080,   -0.00043,   -0.00451,   -0.03162,Segment:  4
   1.08525,    0.68913,    0.63500,    0.37394,   -0.00100,   -0.00792,   -0.04158,Segment:  5
   1.21241,    0.76988,    0.63500,    0.46670,   -0.00193,   -0.01224,   -0.05140,Segment:  6
   1.32690,    0.84258,    0.63500,    0.55899,   -0.00329,   -0.01743,   -0.06113,Segment:  7
   1.43167,    0.90911,    0.63500,    0.65074,   -0.00516,   -0.02348,   -0.07084,Segment:  8
   1.52865,    0.97069,    0.63500,    0.74186,   -0.00761,   -0.03038,   -0.08058,Segment:  9
   1.61918,    1.02818,    0.63500,    0.83228,   -0.01070,   -0.03812,   -0.09040,Segment:  10
   1.70422,    1.08218,    0.63500,    0.92194,   -0.01449,   -0.04667,   -0.10035,Segment:  11
   1.78452,    1.13317,    0.63500,    1.01076,   -0.01905,   -0.05605,   -0.11046,Segment:  12
   1.86064,    1.18151,    0.38358,    1.09869,   -0.02443,   -0.06623,   -0.12078,Segment:  13
   1.93358,    1.20948,   -0.06606,    1.18567,   -0.03067,   -0.07722,   -0.13132,Segment:  14
   2.00505,    1.20476,   -0.06769,    1.27164,   -0.03783,   -0.08901,   -0.14212,Segment:  15
   2.07599,    1.19996,   -0.06943,    1.35655,   -0.04594,   -0.10160,   -0.15320,Segment:  16
   2.14638,    1.19507,   -0.07123,    1.44036,   -0.05504,   -0.11499,   -0.16456,Segment:  17
   2.21621,    1.19010,   -0.07305,    1.52301,   -0.06518,   -0.12918,   -0.17621,Segment:  18
   2.28545,    1.18504,   -0.07484,    1.60448,   -0.07637,   -0.14416,   -0.18817,Segment:  19
   2.35409,    1.17990,   -0.07654,    1.68471,   -0.08866,   -0.15993,   -0.20042,Segment:  20
   2.42213,    1.17470,   -0.07811,    1.76368,   -0.10206,   -0.17648,   -0.21294,Segment:  21
   2.48955,    1.16943,   -0.07948,    1.84136,   -0.11661,   -0.19381,   -0.22572,Segment:  22
   2.55636,    1.16412,   -0.08060,    1.91771,   -0.13230,   -0.21191,   -0.23872,Segment:  23
   2.62255,    1.15879,   -0.08139,    1.99271,   -0.14917,   -0.23076,   -0.25190,Segment:  24
   2.68812,    1.15345,   -0.08179,    2.06634,   -0.16723,   -0.25036,   -0.26521,Segment:  25
   2.75309,    1.14813,   -0.08174,    2.13858,   -0.18648,   -0.27069,   -0.27859,Segment:  26
   2.81745,    1.14287,   -0.08117,    2.20941,   -0.20693,   -0.29172,   -0.29195,Segment:  27
   2.88121,    1.13770,   -0.08001,    2.27881,   -0.22859,   -0.31343,   -0.30522,Segment:  28
   2.94439,    1.13264,   -0.07822,    2.34679,   -0.25146,   -0.33579,   -0.31830,Segment:  29
   3.00699,    1.12775,   -0.07575,    2.41332,   -0.27554,   -0.35876,   -0.33108,Segment:  30
   3.06903,    1.12305,   -0.07256,    2.47840,   -0.30082,   -0.38231,   -0.34344,Segment:  31
   3.13052,    1.11859,   -0.06863,    2.54204,   -0.32729,   -0.40640,   -0.35528,Segment:  32
   3.19148,    1.11440,   -0.06394,    2.60421,   -0.35496,   -0.43096,   -0.36647,Segment:  33
   3.25190,    1.11054,   -0.05851,    2.66494,   -0.38380,   -0.45595,   -0.37688,Segment:  34
   3.31182,    1.10703,   -0.05236,    2.72421,   -0.41380,   -0.48131,   -0.38638,Segment:  35
   3.37125,    1.10392,   -0.04552,    2.78205,   -0.44495,   -0.50698,   -0.39487,Segment:  36
   3.43018,    1.10124,   -0.03805,    2.83844,   -0.47723,   -0.53288,   -0.40223,Segment:  37
   3.48865,    1.09901,   -0.03002,    2.89342,   -0.51063,   -0.55896,   -0.40835,Segment:  38
   3.54665,    1.09727,   -0.01707,    2.94697,   -0.54511,   -0.58513,   -0.41317,Segment:  39
   3.66130,    1.09531,    0.00127,    3.04991,   -0.61724,   -0.63747,   -0.41860,Segment:  40
   3.77424,    1.09546,    0.02017,    3.14738,   -0.69342,   -0.68929,   -0.41820,Segment:  41
   3.88552,    1.09770,    0.03883,    3.23955,   -0.77340,   -0.74001,   -0.41197,Segment:  42
   3.99521,    1.10196,    0.05658,    3.32660,   -0.85692,   -0.78906,   -0.40024,Segment:  43
   4.10335,    1.10808,    0.07290,    3.40877,   -0.94369,   -0.83594,   -0.38353,Segment:  44
   4.20997,    1.11585,    0.08753,    3.48627,   -1.03340,   -0.88021,   -0.36258,Segment:  45
   4.31507,    1.12505,    0.10043,    3.55937,   -1.12572,   -0.92151,   -0.33816,Segment:  46
   4.41865,    1.13545,    0.11177,    3.62834,   -1.22032,   -0.95953,   -0.31101,Segment:  47
   4.52068,    1.14686,    0.12194,    3.69348,   -1.31683,   -0.99407,   -0.28182,Segment:  48
   4.62112,    1.15911,    0.13142,    3.75509,   -1.41488,   -1.02494,   -0.25111,Segment:  49
   4.71990,    1.17209,    0.14087,    3.81349,   -1.51410,   -1.05203,   -0.21926,Segment:  50
   4.81692,    1.18575,    0.15101,    3.86902,   -1.61411,   -1.07525,   -0.18648,Segment:  51
   4.91208,    1.20012,    0.16268,    3.92200,   -1.71450,   -1.09451,   -0.15282,Segment:  52
   5.00524,    1.21528,    0.17684,    3.97279,   -1.81489,   -1.10977,   -0.11818,Segment:  53
   5.09625,    1.23137,    0.19463,    4.02172,   -1.91490,   -1.12095,   -0.08233,Segment:  54
   5.18494,    1.24864,    0.21741,    4.06916,   -2.01412,   -1.12797,   -0.04491,Segment:  55
   5.27113,    1.26737,   -0.17555,    4.11545,   -2.11217,   -1.13073,   -0.00544,Segment:  56
   5.35582,    1.25251,   -0.24883,    4.16095,   -2.20868,   -1.12909,    0.03665,Segment:  57
   5.44017,    1.23152,   -0.26206,    4.20599,   -2.30328,   -1.12292,    0.08202,Segment:  58
   5.52430,    1.20947,   -0.27737,    4.25092,   -2.39560,   -1.11201,    0.13135,Segment:  59
   5.60815,    1.18622,   -0.29384,    4.29607,   -2.48531,   -1.09615,    0.18539,Segment:  60
   5.69168,    1.16167,   -0.31007,    4.34176,   -2.57208,   -1.07512,    0.24476,Segment:  61
   5.77491,    1.13586,   -0.32407,    4.38830,   -2.65560,   -1.04866,    0.30996,Segment:  62
   5.85787,    1.10898,   -0.33327,    4.43599,   -2.73558,   -1.01655,    0.38110,Segment:  63
   5.94063,    1.08140,   -0.33468,    4.48510,   -2.81176,   -0.97858,    0.45776,Segment:  64
   6.02327,    1.05374,   -0.58061,    4.53590,   -2.88389,   -0.93466,    0.53867,Segment:  65
   6.10675,    1.00527,   -0.63500,    4.58863,   -2.95177,   -0.88482,    0.62144,Segment:  66
   6.19252,    0.95081,   -0.52648,    4.64351,   -3.01520,   -0.82928,    0.70241,Segment:  67
   6.28101,    0.90422,   -0.37368,    4.70072,   -3.07404,   -0.76852,    0.77665,Segment:  68
   6.37187,    0.87027,   -0.23520,    4.76046,   -3.12818,   -0.70331,    0.83844,Segment:  69
   6.46443,    0.84850,   -0.10491,    4.82284,   -3.17754,   -0.63473,    0.88201,Segment:  70
   6.55797,    0.83868,    0.02216,    4.88799,   -3.22207,   -0.56414,    0.90277,Segment:  71
   6.65173,    0.84076,    0.15062,    4.95598,   -3.26177,   -0.49305,    0.89832,Segment:  72
   6.74493,    0.85480,    0.28560,    5.02685,   -3.29670,   -0.42306,    0.86905,Segment:  73
   6.83679,    0.88103,    0.43378,    5.10062,   -3.32694,   -0.35567,    0.81807,Segment:  74
   6.92654,    0.91996,    0.60517,    5.17725,   -3.35263,   -0.29219,    0.75029,Segment:  75
   7.01345,    0.97256,    0.63500,    5.25667,   -3.37396,   -0.23368,    0.67134,Segment:  76
   7.09740,    1.02587,    0.50105,    5.33877,   -3.39117,   -0.18091,    0.58643,Segment:  77
   7.17927,    1.06689,    0.37304,    5.42338,   -3.40457,   -0.13439,    0.49968,Segment:  78
   7.26014,    1.09705,    0.38787,    5.51031,   -3.41451,   -0.09445,    0.41377,Segment:  79
   7.34036,    1.12817,    0.40401,    5.59930,   -3.42139,   -0.06129,    0.32996,Segment:  80
   7.41976,    1.16025,    0.42799,    5.69005,   -3.42571,   -0.03505,    0.24827,Segment:  81
   7.49808,    1.19377,    0.46824,    5.78220,   -3.42800,   -0.01589,    0.16761,Segment:  82
   7.57494,    1.22976,    0.45383,    5.87534,   -3.42887,   -0.00407,    0.08589,Segment:  83
   7.65006,    1.26385,   -0.63500,    5.96900,   -3.42900,    0.00000,   -0.00000,Segment:  84
   7.72566,    1.21585,   -0.58105,    6.06273,   -3.42882,    0.00556,    0.11690,Segment:  85
   7.80414,    1.17025,   -0.47635,    6.15635,   -3.42763,    0.02158,    0.22373,Segment:  86
   7.88534,    1.13157,   -0.39048,    6.24975,   -3.42449,    0.04711,    0.32109,Segment:  87
   7.96897,    1.09891,   -0.31476,    6.34283,   -3.41858,    0.08122,    0.40864,Segment:  88
   8.05480,    1.07189,   -0.24400,    6.43552,   -3.40914,    0.12295,    0.48509,Segment:  89
   8.14264,    1.05046,   -0.21164,    6.52772,   -3.39552,    0.17124,    0.54853,Segment:  90
   8.23244,    1.03146,   -0.28323,    6.61938,   -3.37716,    0.22490,    0.59686,Segment:  91
   8.32479,    1.00530,   -0.11428,    6.71043,   -3.35357,    0.28267,    0.62832,Segment:  92
