#======= TRAJECTORY BEGIN: Sample1 - Cubic Trajectory
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),    Angle(rel)
#--------             meters,     meters,     radians,    meters,     meters,     radians
#--------Waypoint:     0.381       2.667      -0.785       0.000       0.000       0.000
#--------Waypoint:     2.667       1.651       0.000       2.335       0.898       0.785
#--------Waypoint:     5.334       2.692       0.785       3.484       3.520       1.571
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          1.11760  m/s
#--------Maximum Acceleration:      0.88900  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          1.11760  m/s
#--------Track width:               1.27000  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.17780  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.88900,    0.00000,    0.00000,    0.00000,    0.20259,Segment:  1
   0.45736,    0.40659,    0.88900,    0.09297,    0.00089,    0.01933,    0.21329,Segment:  2
   0.64399,    0.57251,    0.88900,    0.18430,    0.00356,    0.03931,    0.22417,Segment:  3
   0.78537,    0.69819,    0.88900,    0.27402,    0.00801,    0.05994,    0.23515,Segment:  4
   0.90310,    0.80285,    0.26984,    0.36215,    0.01423,    0.08120,    0.24616,Segment:  5
   1.00951,    0.83157,   -0.16286,    0.44875,    0.02223,    0.10309,    0.25712,Segment:  6
   1.11357,    0.81462,   -0.14901,    0.53384,    0.03199,    0.12557,    0.26793,Segment:  7
   1.21820,    0.79903,   -0.13542,    0.61746,    0.04352,    0.14864,    0.27849,Segment:  8
   1.32333,    0.78479,   -0.12206,    0.69965,    0.05682,    0.17225,    0.28868,Segment:  9
   1.42891,    0.77191,   -0.10889,    0.78044,    0.07188,    0.19638,    0.29840,Segment:  10
   1.53489,    0.76037,   -0.09589,    0.85987,    0.08869,    0.22098,    0.30753,Segment:  11
   1.64118,    0.75017,   -0.08304,    0.93797,    0.10726,    0.24601,    0.31594,Segment:  12
   1.74772,    0.74133,   -0.07031,    1.01478,    0.12758,    0.27142,    0.32353,Segment:  13
   1.85444,    0.73382,   -0.05766,    1.09034,    0.14966,    0.29716,    0.33018,Segment:  14
   1.96126,    0.72766,   -0.04507,    1.16467,    0.17348,    0.32316,    0.33579,Segment:  15
   2.06811,    0.72285,   -0.03251,    1.23782,    0.19905,    0.34936,    0.34028,Segment:  16
   2.17490,    0.71938,   -0.01995,    1.30983,    0.22636,    0.37570,    0.34357,Segment:  17
   2.28155,    0.71725,   -0.00736,    1.38072,    0.25540,    0.40211,    0.34562,Segment:  18
   2.38799,    0.71646,    0.00530,    1.45053,    0.28619,    0.42852,    0.34637,Segment:  19
   2.49413,    0.71703,    0.01806,    1.51931,    0.31871,    0.45485,    0.34583,Segment:  20
   2.59988,    0.71894,    0.03095,    1.58707,    0.35296,    0.48105,    0.34399,Segment:  21
   2.70518,    0.72220,    0.04403,    1.65387,    0.38894,    0.50704,    0.34090,Segment:  22
   2.80993,    0.72681,    0.05732,    1.71974,    0.42664,    0.53276,    0.33658,Segment:  23
   2.91406,    0.73278,    0.07087,    1.78470,    0.46607,    0.55814,    0.33112,Segment:  24
   3.01750,    0.74011,    0.08473,    1.84881,    0.50722,    0.58312,    0.32460,Segment:  25
   3.12016,    0.74881,    0.09896,    1.91208,    0.55009,    0.60765,    0.31710,Segment:  26
   3.22199,    0.75888,    0.11361,    1.97457,    0.59467,    0.63167,    0.30873,Segment:  27
   3.32290,    0.77035,    0.12873,    2.03630,    0.64096,    0.65515,    0.29961,Segment:  28
